"filename", "language", "Python", "MS SQL", "comment", "blank", "total"
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\tools\adapter_wind_river.py", "Python", 103, 0, 34, 23, 160
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\tools\analyse_corpus_echecs.sql", "MS SQL", 0, 165, 144, 20, 329
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\tools\analyse_date_source.sql", "MS SQL", 0, 60, 54, 11, 125
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\tools\audit_appels_llm.py", "Python", 94, 0, 44, 25, 163
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\tools\export_issues.py", "Python", 0, 0, 0, 1, 1
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\tools\extraction_corpus_rejeu.sql", "MS SQL", 0, 24, 42, 13, 79
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\tools\importer_referentiel.py", "Python", 95, 0, 30, 16, 141
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\tools\jira_tracker.py", "Python", 415, 0, 185, 83, 683
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\tools\purger_potagers.py", "Python", 45, 0, 19, 11, 75
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\tools\rejeu_corpus.py", "Python", 194, 0, 82, 38, 314
"Total", "-", 946, 249, 634, 241, 2070
