"filename", "language", "Python", "Markdown", "JSON", "TypeScript JSX", "JavaScript", "pip requirements", "HTML", "YAML", "PowerShell", "Shell Script", "MS SQL", "PostCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.design-sync\NOTES.md", "Markdown", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 70
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.design-sync\config.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.design-sync\conventions.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 42
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.design-sync\previews\RoleSelect.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 22
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\ISSUE_TEMPLATE\bug---feature---incident.md", "Markdown", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 40
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\agents\Developer.agent.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\agents\Orchestrateur-US-Jira.agent.md", "Markdown", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 218
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\agents\Personna PO.agent.md", "Markdown", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 145
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\agents\Qa-tester.agent.md", "Markdown", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 102
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\agents\Suivi-US-Jira.agent.md", "Markdown", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 133
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\agents\patch-notes.prompt.agent.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 67
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\pull_request_template.md", "Markdown", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 23
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\workflows\create-issues-from-backlog.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 276, 0, 0, 0, 0, 0, 3, 35, 314
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\workflows\deploy-dev.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 14, 132
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 14, 141
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\.mcp.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\CLAUDE.md", "Markdown", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 205
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\PATCH_NOTES.md", "Markdown", 0, 1127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 396, 1523
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\README.md", "Markdown", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 239
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\adaptateur_wind_river.py", "Python", 281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 159, 48, 488
"c:\Users\eremy\OneDrive - SQLI\Documents\GitHub\assistant-potager\app\services\attributs_culture.py", "Python", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 47, 389
