variety_id,variety_slug,category,usda_zone,indoor_sow_start,indoor_sow_end,outdoor_transplant_start,outdoor_transplant_end,direct_sow_start,direct_sow_end,harvest_start,harvest_end
1,cherokee-purple,tomato,1,May,May,July,August,,,September,August
1,cherokee-purple,tomato,2,April,May,June,July,,,September,September
1,cherokee-purple,tomato,3,April,April,June,July,,,September,October
1,cherokee-purple,tomato,4,March,April,June,June,,,September,October
1,cherokee-purple,tomato,5,March,March,May,June,,,August,October
1,cherokee-purple,tomato,6,March,March,May,June,,,August,October
1,cherokee-purple,tomato,7,February,March,April,May,,,July,September
1,cherokee-purple,tomato,8,February,February,April,May,,,July,September
1,cherokee-purple,tomato,9,January,January,March,April,,,June,August
1,cherokee-purple,tomato,10,January,January,February,March,,,May,July
1,cherokee-purple,tomato,11,January,January,January,February,,,April,June
1,cherokee-purple,tomato,12,January,January,January,February,,,April,June
1,cherokee-purple,tomato,13,January,January,January,February,,,April,June
2,better-boy,tomato,1,May,May,July,August,,,September,August
2,better-boy,tomato,2,April,May,June,July,,,September,September
2,better-boy,tomato,3,April,April,June,July,,,August,October
2,better-boy,tomato,4,March,April,June,June,,,August,October
2,better-boy,tomato,5,March,March,May,June,,,August,October
2,better-boy,tomato,6,March,March,May,June,,,July,September
2,better-boy,tomato,7,February,March,April,May,,,July,September
2,better-boy,tomato,8,February,February,April,May,,,June,August
2,better-boy,tomato,9,January,January,March,April,,,May,July
2,better-boy,tomato,10,January,January,February,March,,,May,July
2,better-boy,tomato,11,January,January,January,February,,,April,June
2,better-boy,tomato,12,January,January,January,February,,,April,June
2,better-boy,tomato,13,January,January,January,February,,,April,June
3,san-marzano,tomato,1,May,May,July,August,,,September,August
3,san-marzano,tomato,2,April,May,June,July,,,September,September
3,san-marzano,tomato,3,April,April,June,July,,,September,October
3,san-marzano,tomato,4,March,April,June,June,,,September,October
3,san-marzano,tomato,5,March,March,May,June,,,August,October
3,san-marzano,tomato,6,March,March,May,June,,,August,October
3,san-marzano,tomato,7,February,March,April,May,,,July,September
3,san-marzano,tomato,8,February,February,April,May,,,July,September
3,san-marzano,tomato,9,January,January,March,April,,,June,August
3,san-marzano,tomato,10,January,January,February,March,,,May,July
3,san-marzano,tomato,11,January,January,January,February,,,April,June
3,san-marzano,tomato,12,January,January,January,February,,,April,June
3,san-marzano,tomato,13,January,January,January,February,,,April,June
4,celebrity,tomato,1,May,May,July,August,,,September,August
4,celebrity,tomato,2,April,May,June,July,,,September,September
4,celebrity,tomato,3,April,April,June,July,,,August,October
4,celebrity,tomato,4,March,April,June,June,,,August,October
4,celebrity,tomato,5,March,March,May,June,,,July,September
4,celebrity,tomato,6,March,March,May,June,,,July,September
4,celebrity,tomato,7,February,March,April,May,,,July,September
4,celebrity,tomato,8,February,February,April,May,,,June,August
4,celebrity,tomato,9,January,January,March,April,,,May,July
4,celebrity,tomato,10,January,January,February,March,,,May,July
4,celebrity,tomato,11,January,January,January,February,,,April,June
4,celebrity,tomato,12,January,January,January,February,,,April,June
4,celebrity,tomato,13,January,January,January,February,,,April,June
5,brandywine,tomato,1,May,May,July,August,,,October,August
5,brandywine,tomato,2,April,May,June,July,,,September,September
5,brandywine,tomato,3,April,April,June,July,,,September,October
5,brandywine,tomato,4,March,April,June,June,,,August,October
5,brandywine,tomato,5,March,March,May,June,,,August,October
5,brandywine,tomato,6,March,March,May,June,,,August,October
5,brandywine,tomato,7,February,March,April,May,,,July,September
5,brandywine,tomato,8,February,February,April,May,,,July,September
5,brandywine,tomato,9,January,January,March,April,,,June,August
5,brandywine,tomato,10,January,January,February,March,,,May,July
5,brandywine,tomato,11,January,January,January,February,,,April,June
5,brandywine,tomato,12,January,January,January,February,,,April,June
5,brandywine,tomato,13,January,January,January,February,,,April,June
8,roma,tomato,1,May,May,July,August,,,September,August
8,roma,tomato,2,April,May,June,July,,,September,September
8,roma,tomato,3,April,April,June,July,,,August,October
8,roma,tomato,4,March,April,June,June,,,August,October
8,roma,tomato,5,March,March,May,June,,,August,October
8,roma,tomato,6,March,March,May,June,,,July,September
8,roma,tomato,7,February,March,April,May,,,July,September
8,roma,tomato,8,February,February,April,May,,,June,August
8,roma,tomato,9,January,January,March,April,,,May,July
8,roma,tomato,10,January,January,February,March,,,May,July
8,roma,tomato,11,January,January,January,February,,,April,June
8,roma,tomato,12,January,January,January,February,,,April,June
8,roma,tomato,13,January,January,January,February,,,April,June
9,cherry-belle,tomato,1,May,May,July,August,,,September,August
9,cherry-belle,tomato,2,April,May,June,July,,,September,September
9,cherry-belle,tomato,3,April,April,June,July,,,August,October
9,cherry-belle,tomato,4,March,April,June,June,,,August,October
9,cherry-belle,tomato,5,March,March,May,June,,,August,October
9,cherry-belle,tomato,6,March,March,May,June,,,July,September
9,cherry-belle,tomato,7,February,March,April,May,,,July,September
9,cherry-belle,tomato,8,February,February,April,May,,,June,August
9,cherry-belle,tomato,9,January,January,March,April,,,May,July
9,cherry-belle,tomato,10,January,January,February,March,,,May,July
9,cherry-belle,tomato,11,January,January,January,February,,,April,June
9,cherry-belle,tomato,12,January,January,January,February,,,April,June
9,cherry-belle,tomato,13,January,January,January,February,,,April,June
11,early-girl,tomato,1,May,May,July,August,,,September,August
