US;Type(s);Date;Version
US-005;Nouveaut‚ / Am‚lioration;02/04/2026;v2.4.0
US-010;Correction / Nouveaut‚ / Am‚lioration;20/04/2026;v2.16.0
US-011;Correction / Am‚lioration;20/04/2026;v2.17.0
US-012;Nouveaut‚ / Correction / Am‚lioration;20/04/2026;v2.17.0
US-014;Nouveaut‚ / Correction / Am‚lioration;21/04/2026;v2.18.0
US-017;Nouveaut‚ / Correction / Am‚lioration;24/04/2026;v2.20.0
US-018;Nouveaut‚;24/04/2026;v2.20.0
US-019;Nouveaut‚ / Am‚lioration;24/04/2026;v2.21.0
US-021;Nouveaut‚ / Correction / Am‚lioration;27/04/2026;v2.22.0
US-022;Nouveaut‚ / Am‚lioration;04/06/2026;v2.27.0
US-023;Nouveaut‚ / Am‚lioration;05/06/2026;v3.0.0
US-024;Nouveaut‚ / Am‚lioration;05/06/2026;v3.1.0
US-025;Nouveaut‚ / Am‚lioration;05/06/2026;v3.2.0
US-026;Nouveaut‚ / Am‚lioration;06/06/2026;v3.4.0
US-027;Nouveaut‚ / Am‚lioration;05/06/2026;v3.3.0
US-029;Nouveaut‚ / Correction / Am‚lioration;08/06/2026;v3.5.0
US-030;Nouveaut‚ / Am‚lioration;10/06/2026;v3.7.0
US-031;Nouveaut‚;10/06/2026;v3.8.0
US-036;Nouveaut‚ / Am‚lioration;22/06/2026;v3.11.0
US-037;Nouveaut‚ / Correction;07/07/2026;v3.12.0
US-038;Nouveaut‚ / Correction / Am‚lioration;10/07/2026;v3.14.0
US-039;Nouveaut‚ / Correction / Am‚lioration;10/07/2026;v3.14.0
US-040;Am‚lioration;12/07/2026;v3.15.0
US-041;Am‚lioration;16/07/2026;v3.16.0
US-042;Am‚lioration;17/07/2026;v3.17.0
US-043;Am‚lioration;17/07/2026;v3.18.0
US-044;Nouveaut‚ / Correction / Am‚lioration;20/07/2026;v3.19.0
US-045;Nouveaut‚ / Correction / Am‚lioration;20/07/2026;v3.20.0
US-046;Nouveaut‚ / Correction / Am‚lioration;20/07/2026;v3.21.0
US-047;Nouveaut‚ / Am‚lioration;22/07/2026;v3.22.0
US-048;Nouveaut‚ / Am‚lioration;25/07/2026;v3.24.0
US-049;Correction / Am‚lioration;19/07/2026;v3.18.1
US-050;Nouveaut‚ / Am‚lioration;22/07/2026;v3.23.0
US-052;Nouveaut‚ / Correction / Am‚lioration;11/08/2026;v3.26.0
US-053;Nouveaut‚ / Correction;11/08/2026;v3.26.0
US-054;Nouveaut‚ / Am‚lioration;11/08/2026;v3.26.0
US-055;Correction / Am‚lioration;11/08/2026;v3.27.0
US-056;Nouveaut‚ / Correction / Am‚lioration;11/08/2026;v3.27.0
US-057;Nouveaut‚ / Correction / Am‚lioration;11/08/2026;v3.27.0
US-058;Nouveaut‚ / Am‚lioration;18/08/2026;v3.35.0
US-059;Nouveaut‚ / Am‚lioration;12/08/2026;v3.29.0
US-060;Nouveaut‚ / Correction / Am‚lioration;13/08/2026;v3.32.0
US-061;Nouveaut‚ / Correction / Am‚lioration;12/08/2026;v3.31.0
US-063;Nouveaut‚ / Am‚lioration;18/08/2026;v3.36.0
US-064;Am‚lioration;20/08/2026;v3.36.1
US-065;Nouveaut‚ / Correction / Am‚lioration;12/08/2026;v3.30.0
US-066;Nouveaut‚ / Am‚lioration;12/08/2026;v3.30.0
US-072;Nouveaut‚ / Am‚lioration;16/08/2026;v3.33.0
US-073;Nouveaut‚ / Am‚lioration;16/08/2026;v3.33.0
US-074;Nouveaut‚ / Am‚lioration;17/08/2026;v3.34.0
US-075;Nouveaut‚ / Am‚lioration;17/08/2026;v3.34.0
US-076;Nouveaut‚;17/08/2026;v3.34.0
US-077;Nouveaut‚ / Am‚lioration;17/08/2026;v3.34.0
US-078;Nouveaut‚;17/08/2026;v3.34.0
US-081;Am‚lioration;21/08/2026;v3.37.1
US-082;Correction / Am‚lioration;21/08/2026;v3.37.1
US-084;Am‚lioration;21/08/2026;v3.37.1
US-091;Nouveaut‚ / Correction / Am‚lioration;24/08/2026;v3.38.0
